"collection_no","lng","lat"
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7422,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7423,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7424,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7425,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7432,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7433,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7434,-70.75,-33.466667
7435,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
7436,-70.75,-33.466667
8051,115.459999,23.24
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
10642,-105.783333,35.200001
11805,102.107323,25.172689
11920,-72.633331,41.566666
12856,-74.018608,40.811943
12856,-74.018608,40.811943
12857,-2.775,51.291943
12858,-2.543611,51.252777
12942,-101.254799,32.175007
12942,-101.254799,32.175007
13173,-2.428333,51.623055
13173,-2.428333,51.623055
13173,-2.428333,51.623055
13174,-2.428333,51.623055
13174,-2.428333,51.623055
13174,-2.428333,51.623055
13174,-2.428333,51.623055
13174,-2.428333,51.623055
13174,-2.428333,51.623055
13174,-2.428333,51.623055
13175,-2.428333,51.623055
13175,-2.428333,51.623055
13175,-2.428333,51.623055
13175,-2.428333,51.623055
13175,-2.428333,51.623055
13175,-2.428333,51.623055
13176,-2.428333,51.623055
13176,-2.428333,51.623055
13176,-2.428333,51.623055
13176,-2.428333,51.623055
13176,-2.428333,51.623055
13176,-2.428333,51.623055
13177,-2.428333,51.623055
13177,-2.428333,51.623055
13177,-2.428333,51.623055
